Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	partition_rate[1]	partition_rate[2]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	stationaryDist[1]	stationaryDist[2]	tree_length
0	-41.10142	-54.48348	13.38207	0.0916669	0.00688075	0.0174387	0.00421485	0.058515	0.0245442	0.010221	0.2932	0.0882792	0.128284	0.0386265	0.296599	0.280137	0.0917263	0.175144	0.0434527	0.0428291	0.146473	0.117159	0.164917	0.137175	0.140254	0.01951	2.10639	0.336167	0.1780412	1.821959	0.142298	0.386378	0.743285	1.34538	2.58814	7.02751	1.409863	10.23336	3.759539	0.037922	0.00284652	0.0072143	0.00174366	0.0242073	0.0101538	0.00422837	0.121295	0.0365205	0.0530703	0.0159795	0.122701	0.115891	0.0379466	0.0724558	0.0179761	0.0177181	0.0605951	0.0484681	0.0682251	0.0567483	0.0580223	0.00807116	0.910979	0.0890206	2.417248
36	-26.90906	-50.96034	24.05128	0.178416	0.0035241	0.0286789	0.000574392	0.0413044	0.0140457	0.0258087	0.0716423	0.0247874	0.0712309	0.0819369	0.0806836	0.0317625	0.054343	0.183658	0.028919	0.0168282	0.033906	0.0768755	0.119145	0.0217181	0.00776401	0.00919085	0.271413	1.43715	1.851285	0.1487146	0.638975	0.803774	0.934122	1.07052	1.24413	1.56501	0.3238551	0.08033046	0.1133131	0.147849	0.00292034	0.0237655	0.000475985	0.034228	0.0116394	0.0213871	0.0593683	0.0205407	0.0590274	0.0678992	0.0668606	0.0263209	0.0450328	0.152193	0.0239645	0.0139452	0.0280971	0.0637049	0.0987324	0.0179973	0.00643386	0.00761624	0.0743573	0.925643	1.206744
72	-37.88775	-52.50129	14.61354	0.0781245	0.0787796	0.040433	0.0271683	0.125315	0.000604077	0.0665708	0.0209578	0.000580198	0.013252	0.0512998	0.0386793	0.288478	0.0507005	0.0513509	0.0213027	0.00149442	0.00795218	0.122916	0.110952	0.117277	0.026954	0.133885	0.123615	1.52583	0.01685157	1.983148	0.586898	0.77113	0.922117	1.08446	1.2968	1.70387	0.3853265	117.6833	0.04860882	0.0529648	0.053409	0.0274117	0.0184188	0.0849576	0.000409536	0.0451319	0.0142084	0.000393347	0.00898424	0.0347789	0.0262228	0.195575	0.0343726	0.0348136	0.0144423	0.00101314	0.00539121	0.0833313	0.0752205	0.0795082	0.0182736	0.0907678	0.991574	0.00842579	1.475026
108	-42.32587	-60.07523	17.74936	0.0308475	0.00200164	0.0305418	0.00976494	0.0171987	0.0533163	0.0127383	0.00054039	0.00765013	0.0246633	0.00352071	0.0211336	0.0799831	0.0161451	0.0149113	0.0105613	0.0357883	0.0139257	0.042685	0.0581295	0.0278978	0.033733	0.00263116	1.70399	0.577608	0.5342029	1.465797	0.055298	0.243678	0.643721	1.55347	4.10378	18.0838	2.093298	2.743895	1.770046	0.0560549	0.00363731	0.0554994	0.0177445	0.0312529	0.0968843	0.0231476	0.000981976	0.0139015	0.0448172	0.00639769	0.0384032	0.145342	0.0293383	0.0270962	0.0191916	0.0650331	0.0253052	0.0775657	0.105631	0.0506948	0.0612984	0.00478125	0.732899	0.267101	0.5503086
144	-38.61187	-57.98113	19.36926	0.00919576	0.0884515	0.00408366	0.032695	0.051666	0.00869083	0.0377531	0.0210617	0.0087154	0.0321731	0.034056	0.0370024	0.0594117	0.035072	0.0568543	0.011738	0.0276546	0.00847007	0.0211156	0.0301771	0.0731621	0.0273669	0.0158956	0.738797	1.15672	0.1838635	1.816136	0.943919	0.972245	0.991257	1.00882	1.02855	1.05941	0.04173166	9.877633	0.3832191	0.0125546	0.120759	0.00557525	0.0446371	0.0705374	0.0118652	0.0515427	0.0287546	0.0118988	0.0439246	0.0464952	0.0505179	0.0811123	0.0478823	0.0776208	0.0160254	0.0377557	0.0115638	0.0288282	0.0411996	0.0998851	0.0373628	0.0217016	0.908068	0.0919318	0.7324624
180	-30.33051	-50.64746	20.31696	0.0612658	0.0568924	0.0458208	0.0742047	0.0658819	0.00980274	0.0021117	0.0393579	0.0267615	0.0891663	0.0866113	0.143843	0.179044	0.0132463	0.0180783	0.0224591	0.0489354	0.0164304	0.196479	0.065151	0.0241327	0.0218695	0.015059	1.31688	0.809874	0.8068912	1.193109	0.736807	0.861605	0.954591	1.04757	1.16063	1.35721	0.2208466	1.478649	0.9756159	0.0463221	0.0430154	0.0346444	0.056105	0.0498122	0.0074117	0.00159663	0.0297579	0.0202339	0.0674172	0.0654854	0.108757	0.135372	0.0100153	0.0136687	0.016981	0.0369993	0.0124227	0.148555	0.0492596	0.0182464	0.0165352	0.0113859	0.596554	0.403446	1.322604
216	-41.6533	-59.06197	17.40867	0.0693744	0.128558	0.00288891	0.0408828	0.0209411	0.118233	0.0294593	0.0124874	0.0886799	0.174438	0.156965	0.161327	0.088475	0.00925848	0.156102	0.0157014	0.132216	0.0475397	0.0283802	0.038425	0.0197349	0.0142599	0.0302781	0.852535	1.08848	0.3509187	1.649081	0.0621667	0.257997	0.655292	1.52604	3.87601	16.0858	2.008639	4.699326	0.4699409	0.0437803	0.0811294	0.00182311	0.0258	0.0132153	0.0746134	0.018591	0.00788045	0.0559634	0.110083	0.099056	0.101809	0.0558341	0.00584277	0.0985116	0.0099087	0.0834377	0.030001	0.0179099	0.024249	0.0124541	0.00899904	0.0191077	0.824541	0.175459	1.584604
252	-36.33091	-55.49329	19.16237	0.0698773	0.0387087	0.0221401	0.0576135	0.0316053	0.00246988	0.0972029	0.0191657	0.0193523	0.0359307	0.0843474	0.0534668	0.0165483	0.0126	0.0920894	0.0740013	0.0178953	0.0238821	0.0373422	0.0331992	0.0224648	0.0271476	0.020644	1.94172	0.43497	0.7064155	1.293585	0.532714	0.735547	0.908626	1.10056	1.35953	1.87718	0.4553675	1.831195	2.678413	0.076814	0.0425513	0.0243379	0.0633328	0.0347428	0.00271507	0.106852	0.0210683	0.0212734	0.0394975	0.0927205	0.0587744	0.018191	0.0138507	0.101231	0.0813474	0.0196718	0.0262529	0.0410491	0.0364949	0.0246949	0.0298425	0.0226933	0.646792	0.353208	0.9096948
288	-38.07435	-56.47739	18.40303	0.06199	0.0377774	0.0445164	0.0496432	0.0212461	0.00996414	0.0111546	0.0375497	0.0070622	0.236994	0.0517249	0.0167206	0.105594	0.0477504	0.142829	0.0558704	0.0391384	0.0743132	0.0319337	0.113095	0.0161402	0.0265464	0.133619	2.18869	0.286785	0.9592307	1.040769	0.458714	0.683807	0.888183	1.12589	1.4624	2.18001	0.5635076	1.085004	4.579101	0.0451436	0.027511	0.0324186	0.0361522	0.0154723	0.00725629	0.00812325	0.0273452	0.00514298	0.172589	0.0376682	0.0121767	0.0768975	0.0347738	0.104014	0.0406871	0.0285022	0.0541179	0.0232554	0.0823603	0.011754	0.0193321	0.0973071	0.520385	0.479615	1.373173
324	-39.11163	-56.37362	17.26198	0.0236874	0.0138765	0.0272225	0.0321665	0.00956703	0.011381	0.0277199	0.0102937	0.000643	0.0314112	0.013347	0.0362733	0.0811917	0.00587985	0.0318008	0.0413295	0.0117662	0.0156143	0.00261021	0.0266302	0.0268928	0.00154136	0.00278457	1.57882	0.652705	0.1827266	1.817273	0.255382	0.513908	0.812459	1.23083	1.94588	3.91571	0.9869858	9.945317	1.451335	0.0487765	0.0285742	0.056056	0.0662366	0.0197002	0.0234356	0.0570802	0.0211966	0.00132405	0.0646813	0.0274837	0.0746932	0.167188	0.0121077	0.0654836	0.0851048	0.0242286	0.0321527	0.00537489	0.0548364	0.055377	0.00317393	0.00573393	0.908637	0.0913633	0.4856306
